Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,external_id,geographic_location_(region_and_locality),INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,specimen_voucher,SRA Study,Submitter_Id,ENA_first_public,ENA_last_update,INSDC_center_alias,variety,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,Scientific_Name
ERR6064656,RAD-Seq,94,120647546,PRJEB39114,SAMEA8113377,92230447,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",2021-07-08,2021-07-08,ERX5703524,SAMEA8113377,"Arequipa\, Lomas de Atiquipa",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia ritteri,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:28:00Z,1,SAMEA8113377,ED3489,cult. Gibraltar BG,ERP122593,ED3489,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064657,RAD-Seq,88,199252040,PRJEB39114,SAMEA8113344,153275513,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2021-07-08,2021-07-08,ERX5703525,SAMEA8113344,Sierra Grande,Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Austrocactus bertinii,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:31:00Z,1,SAMEA8113344,ED3490,cult. Sarnes 9121/3,ERP122593,ED3490,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064658,RAD-Seq,92,213687416,PRJEB39114,SAMEA8242745,163765062,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2021-07-08,2021-07-08,ERX5703526,SAMEA8242745,Rio Senguer,Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:43Z,2021-07-08T12:21:43Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Austrocactus sp. 1 Rio Senguer,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:31:00Z,1,SAMEA8242745,ED3491,cult. Sarnes 4613,ERP122593,ED3491,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064659,RAD-Seq,102,111790598,PRJEB39114,SAMEA8113343,81639597,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",2021-07-08,2021-07-08,ERX5703527,SAMEA8113343,Nahuel Huapi,Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Austrocactus coxii,ILLUMINA,2021-07-08T00:00:00Z,2021-07-15T06:54:00Z,1,SAMEA8113343,ED3492,cult. Sarnes 546/2,ERP122593,ED3492,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064660,RAD-Seq,90,112903294,PRJEB39114,SAMEA8113346,87026309,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",2021-07-08,2021-07-08,ERX5703528,SAMEA8113346,Los Molles,Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Austrocactus subandinus,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:30:00Z,1,SAMEA8113346,ED3493,cult. Sarnes 6842/1,ERP122593,ED3493,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064661,RAD-Seq,103,98631475,PRJEB39114,SAMEA8113345,71762532,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2021-07-08,2021-07-08,ERX5703529,SAMEA8113345,"Santiago Metropolitan Region\, Farellones",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Austrocactus spiniflorus,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:29:00Z,1,SAMEA8113345,ED3494,cult. Sarnes 3401/2,ERP122593,ED3494,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064662,RAD-Seq,99,163124641,PRJEB39114,SAMEA8113357,121282453,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2021-07-08,2021-07-08,ERX5703530,SAMEA8113357,"Region IV\, Coquimbo\, Llano Choros",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia acida var. procumbens,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:31:00Z,1,SAMEA8113357,ED4234,F.F.Merklinger 2018-80,ERP122593,ED4234,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,procumbens,,,
ERR6064663,RAD-Seq,99,167679412,PRJEB39114,SAMEA8113378,122393597,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2021-07-08,2021-07-08,ERX5703531,SAMEA8113378,"Arequipa\, Lomas de Atiquipa",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia ritteri,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:30:00Z,1,SAMEA8113378,ED4430,F.F.Merklinger 2018-151,ERP122593,ED4430,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064664,RAD-Seq,101,113725081,PRJEB39114,SAMEA8113348,83560577,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",2021-07-08,2021-07-08,ERX5703532,SAMEA8113348,"Cusco\, Huancarpay",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Corryocactus erectus,ILLUMINA,2021-07-08T00:00:00Z,2021-07-15T06:53:00Z,1,SAMEA8113348,ED4540,F.F.Merklinger 2018-127,ERP122593,ED4540,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064666,RAD-Seq,99,65031226,PRJEB39114,SAMEA8113360,48366791,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",2021-07-08,2021-07-08,ERX5703534,SAMEA8113360,"Region XVI\, Arica y Parinacota\, Arica",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia aricensis,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:29:00Z,1,SAMEA8113360,ED4541,"cult. Schneider\, Ritter material",ERP122593,ED4541,,,,,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,Eulychnia aricensis
ERR6064667,RAD-Seq,89,272630586,PRJEB39114,SAMEA8113370,200964648,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2021-07-08,2021-07-08,ERX5703535,SAMEA8113370,"Region IV\, Coquimbo\, El Toro",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia castanea,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:42:00Z,1,SAMEA8113370,ED4667,F.Luebert 3791,ERP122593,ED4667,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064668,RAD-Seq,92,211075844,PRJEB39114,SAMEA8113385,154885842,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",2021-07-08,2021-07-08,ERX5703536,SAMEA8113385,"Region III\, Atacama\, Panamericana Km 645",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia vallenarensis,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:32:00Z,1,SAMEA8113385,ED4802,F.Luebert 4041,ERP122593,ED4802,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064669,RAD-Seq,95,91572088,PRJEB39114,SAMEA8113369,44976358,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",2021-07-08,2021-07-08,ERX5703537,SAMEA8113369,"Region IV\, Coquimbo\, Totoralillo",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia castanea,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:30:00Z,1,SAMEA8113369,ED5134,F.F.Merklinger 2019-10,ERP122593,ED5134,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064670,RAD-Seq,93,85490449,PRJEB39114,SAMEA8242746,41794728,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2021-07-08,2021-07-08,ERX5703538,SAMEA8242746,"Region IV\, Coquimbo\, Tongoy",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:43Z,2021-07-08T12:21:43Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia acida,ILLUMINA,2021-07-08T00:00:00Z,2021-07-15T06:53:00Z,1,SAMEA8242746,ED5135,F.F.Merklinger 2019-2,ERP122593,ED5135,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
