Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR14108405	ERR14108405.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1674254.0	0.0	20-67	60.0	43.69934716008769	66.85531705464045	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108406	ERR14108406.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1609549.0	0.0	20-67	63.0	46.82789166259014	66.8453889878469	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108407	ERR14108407.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1656626.0	0.0	20-68	60.0	37.9289330376546	67.88017573067187	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108408	ERR14108408.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1442047.0	0.0	20-67	59.0	52.540674094653674	66.85423498679307	pass	pass	pass	pass	fail	fail	pass	warn	warn	pass	pass
ERR14108409	ERR14108409.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1882515.0	0.0	20-69	60.0	41.30164426155824	67.86478514115426	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108410	ERR14108410.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1461921.0	0.0	20-68	62.0	45.88299980573597	67.83616214556054	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108411	ERR14108411.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1499840.0	0.0	20-69	60.0	46.2624745102042	67.86348010454448	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108412	ERR14108412.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2779608.0	0.0	20-68	61.0	42.53635545880692	67.91540713654587	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108413	ERR14108413.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1528075.0	0.0	20-68	61.0	50.798657350665366	67.86808304566203	pass	pass	pass	pass	fail	fail	pass	warn	warn	pass	pass
ERR14108414	ERR14108414.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1646564.0	0.0	20-69	61.0	48.87953491359454	67.85913696643435	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108415	ERR14108415.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1699634.0	0.0	20-67	62.0	36.24246687442161	66.86312406082722	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108416	ERR14108416.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1617706.0	0.0	21-67	63.0	41.762788108586975	66.85906215344444	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108417	ERR14108417.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1386912.0	0.0	20-68	62.0	47.18705682162019	67.84708763064997	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108418	ERR14108418.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1231363.0	0.0	20-67	62.0	53.87647421047404	66.80794371765272	pass	pass	pass	pass	fail	fail	pass	warn	warn	pass	pass
ERR14108419	ERR14108419.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1682736.0	0.0	21-69	59.0	43.61972648224432	68.86106376757851	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108420	ERR14108420.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1496302.0	0.0	21-67	60.0	43.181378441026226	66.86134015726772	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108421	ERR14108421.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1287658.0	0.0	21-67	60.0	45.53664890664951	66.82285669020811	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108422	ERR14108422.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1779416.0	0.0	20-70	61.0	34.62470550508547	69.8575161738458	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
ERR14108423	ERR14108423.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1861431.0	0.0	20-69	45.0	13.760475412262432	67.92205244244884	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
