Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR6064642	85.28181183408745	44.0	96.49606635032953	30.0	1864045.0
ERR6064643	85.5454494470049	43.0	94.41864929314536	30.0	1950401.0
ERR6064644	86.92746038069248	42.0	95.79462678688257	30.0	1424548.0
ERR6064645	87.24889354749804	43.0	89.32295444292279	30.0	1493994.0
ERR6064646	86.13298049931512	42.0	96.45632899943999	30.0	1498191.0
ERR6064647	87.13566699325324	44.0	96.31608932573405	40.0	879030.0
ERR6064648	88.10265820017115	41.0	98.38797749904916	30.0	1903564.0
ERR6064649	84.07632201030094	44.0	97.39882504841093	30.0	1741859.0
ERR6064650	84.67107923978881	42.0	98.699915926061	30.0	1302425.0
ERR6064651	87.48258085979191	43.0	97.9838745937133	30.0	1903828.0
ERR6064652	85.15445451588695	42.0	99.40888078448198	30.0	1156024.0
ERR6064653	81.2365139321345	42.0	95.34761003520076	30.0	1255939.0
ERR6064654	82.49636547057807	43.0	96.32796551529569	30.0	1346916.0
ERR6064655	87.7856068797466	44.0	93.8520172981773	30.0	1803427.0
ERR6064656	41.22341926885077	55.0	93.65306884765243	20.0	1279666.0
ERR6064657	40.827973154091225	63.0	87.5464041345013	10.0	2261361.0
ERR6064658	37.618249240242626	65.0	91.53632887477752	0.0	2319959.0
ERR6064659	82.75268629656875	42.0	101.52496864224345	30.0	1093031.0
ERR6064660	39.30272250158172	60.0	89.70793622866191	10.0	1250405.0
ERR6064661	85.64478040420538	42.0	102.88203250758858	40.0	951101.0
ERR6064662	87.34887034549155	42.0	98.6017781646735	30.0	1642705.0
ERR6064663	90.47858742856654	42.0	98.92789462921925	30.0	1682288.0
ERR6064664	78.07938856897327	41.0	100.36563979231435	20.0	1125162.0
ERR6064666	66.26739197831202	43.0	99.09305587957222	30.0	651544.0
ERR6064667	86.23246887840709	44.0	89.09034672884007	30.0	3040099.0
ERR6064668	92.47601625511746	43.0	91.71574090928185	30.0	2285408.0
ERR6064669	87.25287809157138	44.0	94.45339743696292	40.0	962608.0
ERR6064670	88.17226369888039	44.0	92.773267108216	40.0	915262.0
ERR6064671	86.59649290670211	45.0	94.02098326103793	40.0	1070377.0
ERR6064672	86.18095155241316	44.0	94.66649399608806	40.0	1154414.0
ERR6064673	80.8658290402315	46.0	91.26701352396007	40.0	1842064.0
ERR6064675	84.97364556314446	45.0	93.13360134350907	40.0	1542230.0
ERR6064676	86.9152474781161	44.0	92.30422619618933	40.0	1708676.0
ERR6064677	86.06849611905211	43.0	97.09817652350004	40.0	641467.0
ERR6064678	86.37016863236673	44.0	96.37728531781353	40.0	742621.0
ERR6064679	85.56269576652022	45.0	93.79073734715396	40.0	1516477.0
ERR6064680	91.6889695350551	43.0	97.36777117787663	40.0	1774269.0
ERR6064681	88.62440520092228	43.0	97.68914009519992	40.0	885505.0
ERR6064682	91.69526784366695	43.0	97.40710097979695	40.0	1353954.0
ERR6064683	91.24308107986674	43.0	97.59232724019728	40.0	1263170.0
ERR6064684	86.25841803831574	44.0	95.19525577519983	40.0	873736.0
ERR6064685	72.13337042280008	46.0	93.94420606180861	40.0	967632.0
ERR6064686	70.30627196730946	47.0	94.18692780435265	30.0	1010144.0
ERR6064687	90.38497350571163	43.0	93.98946752383377	40.0	1131168.0
ERR6064690	90.10733375154187	44.0	92.01303265692952	40.0	1129010.0
ERR6064691	84.39937237508698	45.0	94.31733004353055	30.0	966218.0
ERR6064740	89.14776252796484	44.0	96.51450528556872	30.0	878335.0
